disease,icd,count
"diabetes mellitus, type 2","['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",305
breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",283
asthma,"['J45.998', 'J82.83', 'J45.909', 'J45.991', 'J45.20', 'J45.30', 'J45.40']",253
type 2 diabetes mellitus,"['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",233
pain,"['N50.82', 'R07.2', 'R07.82', 'R10.13', 'R10.33', 'R14.1', 'R52']",175
schizophrenia,"['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']",169
rheumatoid arthritis,"['M06.9', 'M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019']",169
"pulmonary disease, chronic obstructive","['J44.9', 'J44.89', 'J44.1', 'J44.0']",155
hiv infections,['Z21'],153
prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",148
major depressive disorder,"['F33.0', 'F33.1', 'F33.9', 'F32.0', 'F32.1', 'F32.9', 'F33.40']",145
hypertension,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",128
diabetes,"['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",128
obesity,"['E66.8', 'E66.9', 'E66.1', 'O99.214', 'O99.215', 'O99.210', 'O99.211']",125
healthy,"['Z76.3', 'Z76.2']",123
psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",111
multiple myeloma,"['C90.01', 'C90.02', 'C90.00']",110
non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",108
type 2 diabetes,"['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",107
depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",105
colorectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",97
alzheimer's disease,"['G30.8', 'G30.9', 'G30.0', 'G30.1']",96
lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",91
lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",89
covid-19,"['U07.1', 'Z28.310', 'Z28.311', 'Z86.16', 'U09.9', 'Z11.52', 'Z20.822']",86
hypercholesterolemia,"['E78.01', 'E78.00', 'Z83.42']",85
multiple sclerosis,"['G35', 'C81.18']",85
cystic fibrosis,"['E84.9', 'Z14.1', 'E84.0', 'E84.11', 'E84.8', 'E84.19', 'P09.4']",78
atopic dermatitis,"['L20.89', 'L20.9']",77
leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",75
heart failure,"['I50.814', 'I09.81', 'I50.82', 'I50.89', 'I50.9', 'T86.22', 'I11.0']",70
bipolar disorder,"['F31.81', 'F31.89', 'F31.9', 'F25.0', 'F31.0', 'F31.31', 'F31.32']",66
ovarian cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",63
coronary artery disease,"['I25.10', 'I25.110', 'I25.112', 'I25.119', 'I25.111', 'I25.118']",60
ulcerative colitis,"['K51.80', 'K51.813', 'K51.814', 'K51.90', 'K51.913', 'K51.914', 'K51.811']",57
