reason,label
strategic considerations,4
terminated,4
study never started,4
pi decision,4
investigator decision,4
never started,4
management decision,4
poor resources,4
feasibility,4
withdrawn,4
interim analysis,4
terminated by sponsor,4
the development program has been terminated,4
study terminated by sponsor,4
trial not initiated,4
research cancelled,4
pi no longer at institution,4
logistics,4
development program terminated,4
strategic decision,4
investigator choice,4
corporate decision,4
study not started,4
feasibility issues,4
transition to biometabol,4
pi request,4
study cancelled,4
drug supply issues,4
insufficient staff,4
technical problems,4
competing studies,4
sponsor,4
study was never initiated,4
poor feasibility,4
study was never started,4
study never initiated,4
nonapplicable clinical trial,4
decision of investigational team,4
study completed,4
sponsor r & d strategy adjustment,4
study was not initiated,4
fda clinical hold,4
insufficient resources,4
strategic reasons,4
company dissolved,4
transition into biometabol,4
study withdrawn,4
poor interest,4
the study never started,4
study halted prematurely and will not resume; participants are no longer being examined or receiving intervention,4
technical issues,4
withdrawn by sponsor,4
halted prematurely,4
principal investigator has left the institution,4
study not initiated,4
logistical issues,4
pandemic,4
change in study design,4
completed,1
others,4
study period ended / not completed,4
poor support,4
ind withdrawn,4
no financial support,4
investigator's decision,4
non applicable clinical trial,4
both the sponsors and collaborator are considering terminating the study,4
sponsor decided to discontinue study drug development,4
"the original pi, alexander neumeister, left nyulmc. no data was analyzed",4
poor staff,1
study abandoned,4
closed by sponsor,4
pi relocated,4
limited resources,4
pi is leaving the institution,4
contract issues,4
sponsor discretion,4
study never began,4
unique provision in the american recovery and reinvestment act prevented approval of second year no-cost-extension in which completion of analyses were planned,4
withdrawn by pi,4
internal decision,4
resources,4
poor subjects,1
per pi,4
az decision to discontinue fostamatinib development in ra; rights to fostamatinib returned to rigel pharmaceuticals,4
study did not start,4
company strategic decision,4
irb approval expired,4
change in clinical strategy,4
replaced by another study,4
study closed due to portfolio prioritization,4
the study was not activated,4
end of initial phase of multi-phase protocol,4
this study was terminated by the sponsor,4
strategy review,4
adverse change in the risk/benefit,3
pi resigned,4
poor budget,4
study was not started,4
unrelated to trial,4
program discontinued,4
drug unavailable,4
program terminated,4
company closed,4
pi has left the institution,4
not enough subjects,1
insufficient data,4
"the study was concluded as planned upon reaching its predetermined endpoint, which included the completion of data collection and achievement of the necessary sample size for statistical significance",4
drug not available,4
corporate policy adjustments,4
logistic reasons associated with the fda-imposed clinical hold,4
not a clinical trial study,4
technical problem,4
sponsor elected not to continue with study,4
pi discretion,4
the overall profile does not support development for obesity,4
failure to accrue,1
termination due to acquisition of peak surgical by medtronic,4
overall profile of the compound does not offer significant clinical advantage to patients over currently available lipid poorering agents,4
poor response,2
technical difficulties,4
study halted prematurely but potentially will resume,4
staffing,4
drug no longer available,4
"based on available data, ucb has decided to stop development of padsevonil as adjunctive treatment of focal-onset seizures",3
"at the request of the study site, this study has been closed and access to study-related data is unavailable. we are unable to submit the results-data",4
sponsor withdrawal,4
"due to a change in the development program, the study was closed prematurely",4
the study is paused,4
poor human ressources,4
at sponsor's discretion,4
change in strategy,4
personnel changes,4
investigator leaving institution,4
pi departure,4
staff shortage,4
sponsor insolvency,4
strategic decision to discontinue the development of brazikumab in inflammatory bowel disease,4
study halted prematurely and will not resume,4
finished,4
participants are no longer being examined or receiving intervention,4
terminated by irb,3
primary endpoint not met,2
protocol modification,4
organizational reasons,4
inability to meet protocol objectives,2
this is not a clinical trial and was inadvertently entered into the system,4
project terminated due to revision of local regulations,4
the study was terminated for strategic reasons,4
scheduled interim monitoring,4
study never opened,4
coronavirus pandemic,4
insufficient data collected,4
drugs unavailable,4
substance discontinued,4
the sponsor decided to terminate the study folpooring an fda request of a partial clinical hold,4
change company strategy,4
the company decided to cancel this study in conformity with ph fda circular 2013-004,4
never initiated,4
decision by sponsor,4
unable to accrue subjects,1
project abandoned,4
study was cancelled,4
investigator transferred to the university of wisconsin - madison,4
no fund,4
retirement of former qualified investigator and poor resources to complete study,4
this study was terminated early as a result of regulatory action suspending tegaserod use in 2007,4
principal investigator decision,4
pediatric development program terminated by sponsor,4
the sponsor has discontinued the development of tesetaxel,4
abandoned,4
drug availability,4
pi departure from institution,4
early termination for discouraging results,2
"in response to quality assurance and compliance concerns, ohrp issued an fwa restriction on nyspi research that included a pause of human research as of june 23, 2023",4
logistics and infrastructure problems,4
not started,4
irb approval lapsed,4
logistics (research staffing),4
investigators decision,4
logistics reason at the data collection site,4
due to the achievement of minimum required sample size and new changes in local regulations,1
decision of the investigator,4
strategy change,4
logistical difficulties,4
principal investigator changing locations,4
samus therapeutics company closure,4
the principal investigator decided to stop the study,4
study canceled,4
not feasible,4
logistical problems,4
sorrento therapeutics filed for chapter 11 bankruptcy,4
development strategy adjustment,4
study no longer pursued,4
resourcing,4
terminated per pi's request,4
drug supply,4
never activated,4
change in research plan,4
financial reasons,4
policy changes have contributed to the failure to carry out smoothly,4
"based on analysis of results and consideration of available treatments, the overall benefit to risk profile of ocrelizumab was not favorable in ra",2
project cancelled,4
the study was not feasible,4
implementation issues,4
technical issue,4
"based on available data, ucb has decided to stop development of padsevonil as adjunctive treatment of focal-onset seizure",4
terminated by the sponsor,4
poor study staff,4
the study was never initiated,4
the decision to terminate clinical development of lotiglipron is based on pharmacokinetic data from phase 1 drug-drug-interaction studies and laboratory measurements of elevated transaminases in these phase 1 studies as well as a phase 2 study,3
strategic decision by sponsor,4
pi changed institutions,4
the study was terminated by the sponsor,4
recrutment difficulties,1
abandonment,4
sponsor's clinical development strategy adjustment,4
study closed,4
emerging sars-cov-2 variants impacting susceptibility to study drug,4
obsolete study,4
discontinued,4
emerging gsk1322322 pre-clinical data id'd potentially reactive metabolites previously not seen that changed the risk: benefit profile and led to a termination,4
dose limiting toxicities,3
contract terminated,4
"the study was terminated by spiracur (original sponsor). efforts were made to contact the pi/study team members, but were unsuccessful",4
protocol change,4
not nih defined clinical trial study,4
0,0
it doesn't meet the requirements of randomized trials,4
sponsor strategy change,4
prioritizing other studies,4
company withdrew interest,4
study drug no longer available,3
sponsors decision,4
"due to budget limitations, the company decided to withdraw this study",4
departure of the principal investigator,4
to be replaced by a different protocol,4
change in research focus,4
irb closure,4
based on the adjustment of clinical research and development strategy，sponsor decided to terminate the study,4
decision of sponsor,4
medical device expired,4
sufficient data collected,4
this study was cancelled before active,4
not active,4
drug shortage,3
study terminated due to corporate decision,4
the sponsor has no interest in continuing the study,4
study expired in irb,4
the study team decided not to pursue this study,4
poor time,4
drug supply unavailable,4
time and resource constraints,4
not irb approved,4
issues with development and supply of infusion system for delivery of imp. poor favorable benefit risk ratio in snn0029-003 study (review of interim data),4
suspended,2
pi moving to another institution,4
this study was terminated due to treatment stop resulting in an inability to draw conclusions from the data. evaluation of nonclinical rat findings is ongoing,3
study termination by the sponsor,4
study has been cancelled and it has not been initiated,4
irb study closure,4
preclinical finding,4
the study was never started,4
closed by investigator,4
sponsor cancelled the study,4
- interest in the use of hcq is controversial,4
pi passed away. ending grant and closing lab,4
could not make fda required changes,4
compound terminated,4
abandoned project,4
study was terminated due to cardiac toxicities in the subjects,3
closed by sponser,4
this is not a clinical trial and was entered in the system in error,4
terminated to initiate fda ind-cleared study protocol,4
budgetary issues,4
primary endpoint was not met,2
equipment failure,4
the study is terminated prematurely as the sponsor decided to discontinue program with tecemotide in nsclc,4
study turned out no longer feasible,4
"this study is a retrospective chart review study, not a clinical trial",4
study stopped,4
the scope of the program has been reduced to focus resources on studies which can potentially enable the registration of duvelisib,4
change in personnel,4
closed by irb,4
other - protocol moved to withdrawn,4
pi passed away,4
idmc recommendation,4
study terminated due to poor financing,4
sponsor strategy,4
study terminated,4
investigator is no longer at northwestern university,4
poor drug supply,4
company strategy adjustment,4
study objectives met,4
change in company strategy,4
staffing issues,4
study discontinued,4
insufficient findings for data analysis,4
per sponsor,4
participants are no longer being examined or treated,4
regulatory,4
budget issues,4
no irb approval,4
logistic issues,4
sponsor discontinued development of co-1686 for nsclc,4
insufficient on-site staff to manage study,1
"due to the company's development strategy adjustment, innovent biologics has decided not to continue this study after consultation with investigators",4
discontinuation of zandelisib program,4
commercial reasons,4
fda hold may 2007,4
due to financial reasons,4
study has been suspended due to clinical hold,4
sponsor is focusing on studies which can enable registration of duvelisib,4
other,4
sponsor ceased operations,4
no resources available,4
insufficient study staff,1
"ind voluntarily withdrawn, without prejudice",4
lead researcher left the department,4
insys therapeutics filed chapter 11 and terminated all studies,4
study terminated due to reproducibility issues with genomics prediction model,4
company development strategy adjustment,4
not initiated,4
replaced by a different protocol,4
logistic reasons,4
pi moved to another institution,4
pi moved to a different institution,4
drug supply issue,4
the sponsor decided to terminate the study,4
at the request of the pi,4
device failure,4
pi is leaving institution,4
because of logistical problems,4
interim monitoring,4
change in drug product development strategy,4
no need,4
other - protocol moved to disapproved,4
the study was terminated due to a change in sponsor prioritization,4
dosing stopped,4
cancelled by sponsor,4
the primary endpoint of non-inferiority to daily therapy in the pediatric phase 3 study was not achieved,2
the development was stopped due to company's strategy consideration,4
sponsors,4
the study was withdrawn due to an internal decision,4
early termination,4
a different study will be conducted,4
"the first clinical trial with dyn101 (unite-cnm) was early terminated. as a consequence, dynacure decided to not perform this study",4
